Plate Number,Time,Gate,Direction,Image Path
AA777,2026-04-09 07:45:14,Main Gate,Entry,crops/AA777_6.jpg
7777,2026-04-09 07:45:17,Main Gate,Entry,crops/7777_6.jpg
CO,2026-04-09 07:46:56,Main Gate,Entry,crops/CO_0.jpg
EQ,2026-04-09 07:47:06,Main Gate,Entry,crops/EQ_13.jpg
HR98A7778,2026-04-09 07:50:25,Main Gate,Entry,crops/HR98A7778_6.jpg
NB06F5977,2026-04-09 07:53:20,Main Gate,Entry,crops/NB06F5977_28.jpg
NB06F5077,2026-04-09 08:44:44,Main Gate,Entry,crops/NB06F5077_13.jpg
MB06F5971,2026-04-09 08:45:14,Main Gate,Entry,crops/MB06F5971_39.jpg
MB06F5977,2026-04-09 08:45:15,Main Gate,Entry,crops/MB06F5977_39.jpg
HR88E3328,2026-04-09 08:47:55,Main Gate,Entry,crops/HR88E3328_71.jpg
HR88E3338,2026-04-09 08:47:56,Main Gate,Entry,crops/HR88E3338_70.jpg
